approximate_kl,clip_fraction,contributing_episodes,decision_weighted_heuristic_agreement,episode_end,episode_start,epochs_completed,explained_variance,gradient_norm,mean_behavior_entropy,mean_casualty_penalty,mean_episode_return,mean_risk_time_penalty,mean_safe_completion_reward,optimizer_steps_cumulative,policy_loss,policy_replication,rollout_update,update_entropy,value_loss
1.9972523015721055e-06,0.0,10,0.13333333333333333,10,1,8.0,0.0057419538497924805,0.1515239104628563,2.6319328467051184,0.0,-0.49278571707861757,-0.8077857170786176,0.315,8,-0.0006484137199853635,1,1,2.6311272978782654,0.05873126583173871
2.941812060441862e-05,0.0,10,0.2,20,11,8.0,0.015999913215637207,0.054908838123083115,2.631536022822062,0.0,-0.4620000035422189,-0.7870000035422189,0.325,16,-0.0005866977073309965,1,2,2.6275157034397125,0.03134405706077814
9.062389750624789e-06,0.0,10,0.2,30,21,8.0,0.03244751691818237,0.044913132674992085,2.6107710440953573,-0.015,-0.4845714296613421,-0.7895714296613421,0.31999999999999995,24,-0.0002970538999156336,1,3,2.6112145483493805,0.027281945338472724
3.502642023800462e-05,0.0,10,0.26666666666666666,40,31,8.0,0.043579161167144775,0.10963635426014662,2.652352547645569,0.0,-0.41842857258660454,-0.7834285725866046,0.36500000000000005,32,-0.0019381046432189741,1,4,2.6495589315891266,0.030505735892802477
0.0025742687598722114,0.05416666902601719,10,0.23333333333333334,50,41,8.0,0.04524374008178711,0.14587224461138248,2.6260515530904134,-0.045,-0.5875714349746703,-0.8175714349746703,0.275,40,-0.006913747082580857,1,5,2.5911064445972443,0.05307168327271938
0.003867510680720443,0.12083333684131503,10,0.43333333333333335,60,51,8.0,0.09622752666473389,0.22039064951241016,2.561749267578125,-0.015,-0.5038571432658604,-0.7838571432658604,0.29500000000000004,48,-0.011062368931015976,1,6,2.507567375898361,0.028685023775324225
0.009634395755711012,0.3125000004656613,10,0.2,70,61,8.0,0.06126898527145386,0.4473324306309223,2.538728666305542,-0.03,-0.5403571496691023,-0.8003571496691023,0.29,56,-0.010903011941506113,1,7,2.433528482913971,0.03873100271448493
0.01078618990140967,0.34166667331010103,10,0.2,80,71,8.0,0.08696484565734863,0.22787089366465807,2.4792537132898964,-0.03,-0.5458571447644915,-0.8108571447644914,0.29500000000000004,64,-0.008822659011153977,1,8,2.567852348089218,0.03394206427037716
2.0398696534584815e-05,0.0,10,0.16666666666666666,90,81,8.0,0.14058780670166016,0.06649475218728185,2.5535545984903973,-0.015,-0.5754285781724111,-0.8104285781724112,0.25,72,-0.0002424058777857896,1,9,2.550827145576477,0.02885549864731729
0.001951918681584175,0.02916666679084301,10,0.3333333333333333,100,91,8.0,0.21085816621780396,0.2825017347931862,2.536726729075114,0.0,-0.514714286327362,-0.8197142863273619,0.305,80,-0.00827109400415793,1,10,2.5096908807754517,0.030304834013804793
0.0014217359366739402,0.0,10,0.26666666666666666,110,101,8.0,0.3032670021057129,0.12764461152255535,2.4594348112742104,-0.03,-0.5530714382444109,-0.803071438244411,0.27999999999999997,88,0.0014836974403199532,1,11,2.4209175407886505,0.021212046733126044
0.007585247750967028,0.21250000270083547,10,0.2,120,111,8.0,0.19746911525726318,0.4665718749165535,2.512501470247905,-0.015,-0.49007143889154714,-0.8000714388915471,0.325,96,-0.010549892550140383,1,12,2.4441292583942413,0.046972410287708044
0.009887028028970235,0.18750000279396772,10,0.2,130,121,8.0,0.4831852316856384,0.34919319208711386,2.251760721206665,-0.045,-0.5151428597314017,-0.7901428597314017,0.32,104,-0.013908729347167581,1,13,2.1414895057678223,0.016759294783696532
0.013942825375124812,0.30833334289491177,10,0.26666666666666666,140,131,8.0,0.6475980281829834,0.5913944244384766,2.0984653910001123,0.0,-0.45871428728103636,-0.7887142872810364,0.33,112,-0.024952390541633118,1,14,2.2078840136528015,0.008528157602995634
0.007496127509512007,0.2083333390764892,10,0.16666666666666666,150,141,8.0,0.34323883056640625,0.43113503232598305,2.0946677327156067,0.0,-0.4606428595951625,-0.7806428595951626,0.31999999999999995,120,0.002726528470278433,1,15,1.9836215525865555,0.022260787431150675
0.0071581365482416,0.18333334010094404,10,0.3,160,151,8.0,0.6067310571670532,0.21548453345894814,2.062431530157725,-0.09,-0.5127857160568237,-0.7677857160568238,0.34500000000000003,128,0.0012285110043497305,1,16,2.1919338405132294,0.012040661298669875
